Key_Weight,SKey_Count,Entropy,Dictionary_Similarity,Score,Label,Len_Key,Len_Code,Has_Digit,Has_Cap,Second_Key_#NAME?,Second_Key_access_key,Second_Key_access_key_id,Second_Key_access_secret,Second_Key_access_token,Second_Key_account_sid,Second_Key_api_key,Second_Key_auth,Second_Key_auth_token,Second_Key_aws_access_key_id,Second_Key_aws_secret_access_key,Second_Key_aws_secret_key,Second_Key_client_secret,Second_Key_consumer_secret,Second_Key_cred,Second_Key_key,Second_Key_oauth_token,Second_Key_publish_key,Second_Key_repotoken,Second_Key_s3_key,Second_Key_s3_secret_key,Second_Key_secret,Second_Key_secret_key_base,Second_Key_token,Extension_c,Extension_com/soda/xcloud-vm-build/blob/622042dee032641aa606a74f387921a7697fbd72/xcloud-ansible/roles/AWS_Modules/files/credentials,Extension_conf,Extension_config,Extension_cpp,Extension_cs,Extension_cshtml,Extension_csv,Extension_ejs,Extension_erb,Extension_exs,Extension_go,Extension_gradle,Extension_groovy,Extension_h,Extension_html,Extension_ini,Extension_ipynb,Extension_j2,Extension_java,Extension_js,Extension_json,Extension_jsp,Extension_jsx,Extension_log,Extension_mk,Extension_php,Extension_phtml,Extension_plist,Extension_properties,Extension_py,Extension_rb,Extension_scala,Extension_sh,Extension_sql,Extension_swift,Extension_tf,Extension_tfvars,Extension_ts,Extension_txt,Extension_vue,Extension_xhtml,Extension_xml,Extension_yaml,Extension_yml
2,1.265599895,2.578629174,0.788934951,6.633164021,0,24,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.947878756,2.589903199,0.789820556,10.32760251,0,24,83,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.780743913,2.535025162,0.791970426,10.1077395,0,24,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.947878756,2.419500632,0.79211245,10.15949184,0,24,81,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.878248315,2.383540373,0.792273666,5.054062354,0,24,69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.200708131,2.48490665,0.792284297,6.477899078,0,24,192,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0.753332469,2.496180675,0.792913869,10.04242701,0,24,94,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.200708131,2.48490665,0.793387823,6.479002604,0,24,192,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,1.010545046,2.499064903,0.794067146,10.3036771,0,24,126,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.033780911,2.520866909,0.795374062,10.35002188,0,24,77,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
